camera,person_a,person_b,timestamp,duration_seconds
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:56,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:57,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:57,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:57,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:57,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:57,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:57,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:58,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:59,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:59,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:59,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:59,0.00
ROOM,sarisht,shrayan,2026-08-07 12:47:59,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:00,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:01,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:02,0.00
ROOM,sarisht,shrayan,2026-08-07 12:48:03,0.00
